0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Star of Christmas"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
8           15      4          6          1      1      3        0
9           15      4          6          1      1      3        0
10          15      4          6          1      1      3        0
11          15      4          6          1      1      3        0
7           9       4          6          1      1      3        0
8           9       4          6          1      1      3        0
9           9       4          6          1      1      3        0
10          9       4          6          1      1      3        0
11          9       4          6          1      1      3        0
7           7       4          6          1      1      3        0
8           7       4          6          1      1      3        0
9           7       4          6          1      1      3        0
10          7       4          6          1      1      3        0
11          7       4          6          1      1      3        0
7          25       4          6          1      1      3        0
8          25       4          6          1      1      3        0
9          25       4          6          1      1      3        0
10         25       4          6          1      1      3        0
11         25       4          6          1      1      3        0  
7          13       4          6          1      1      3        0
8          13       4          6          1      1      3        0
9          13       4          6          1      1      3        0
10         13       4          6          1      1      3        0
11         13       4          6          1      1      3        0
7          41       4          6          1      1      3        0  
8          41       4          6          1      1      3        0
9          41       4          6          1      1      3        0
10         41       4          6          1      1      3        0
11         41       4          6          1      1      3        0
5          15       4          6          1      1      3        0
5          14       4          6          1      1      3        0
0          1        4          6          1      1      3        0     
0          0        4          6          1      1      3        0
2          8        4          6          1      1      3        0   
0          10       4          6          1      1      3        0
0          15       4          6          1      1      3        0
0          12       4          6          1      1      3        0
1          7        4          6          1      1      3        0
2          9        4          6          1      1      3        0
4          3        4          6          1      1      3        0        
0          13       4          6          1      1      3        0                 
0          11       4          6          1      1      3        0
4          4        4          6          1      1      3        0
4          10       4          6          1      1      3        0   
4          11       4          6          1      1      3        0
6          1        4          6          1      1      3        0
6          1        4          6          1      1      3        0
6          1        4          6          1      1      3        0
6          1        4          6          1      1      3        0
14         14       0          0          0      0      0        0
12         15       0          0          0      0      0        0
14         13       0          0          0      0      0        0
14         16       0          0          0      0      0        0
14         22       0          0          0      0      0        0       
end
