//=================================================================================================================
// Custom Auto Quiz System
//=================================================================================================================
0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     00     30       0
0         *      *       *     *     03     30       0
0         *      *       *     *     06     30       0
0         *      *       *     *     09     30       0
0         *      *       *     *     12     30       0
0         *      *       *     *     15     30       0
0         *      *       *     *     18     30       0
0         *      *       *     *     21     30       0
end

1
//Index   Name                       AlarmTime   EventTime
0         "Quiz"                        1           5
end


//=================================================================================================================
// Questions
//=================================================================================================================
//  ID  	->  Question ID
//  WC 		->  Premia��o em WCoinC
//  WP      	->  Premia��o em WCoinP
//  GP      	->  Premia��o em Goblin Point
//  Question   	->  Pergunta
//  Answer   	->  Resposta
//=================================================================================================================
// Obs: Evite usar respostas que possuem acentos. 
//=================================================================================================================
//=================================================================================================================
//       #ID     #WC     #WP	 #GP         #Question				      		        #Answer		 
//=================================================================================================================
2
	  0      1       1       50	     "What is 124+283?"					"407"
	  1      1       1       50	     "In which year was Mu Online released?"			"2003"
	  2      1       1       50	     "What is the exact name of the server?"				"Fly Mu Online"
	  3      1       1       50	     "Is Bless used to upgrade items up to +?"		        "6"
	  4      1       1       50	     "In what year was Season 6 released?"		        "2011"
	  5      1       1       50	     "What is the current season of Mu in Korea?"		        "19"
	  6      1       1       50	     "What is the capital of Italy?"              "Rome"
	  7      1       1       50	     "Does Pet Rudolf give exp bonus true or false ?"          "false"
	  8      1       1       50	     "What is the Mini-Boss called in the Dungeon?"		        "Gorgon"
	  9      1       1       50	     "What is the capital of Japan?"		        "Tokyo"
	  10     1       1       50	     "In which city is the first Class Quest located?"		"Devias"
	  11     1       1       50	     "What percentage of Attack does the Imp pet give?"	                "30"
	  12     1       1       50	     "In the Kanturu event, who controls Maya?"		        "Nightmare"
	  13     1       1       50	     "What is the name of the skill that DL starts with?"	                "Force"
	  14     1       1       50	     "In which season did Elbeland arrive?"		                "3"
	  15     1       1       50	     "Complete - Gr__ L__c__"		                        "Grow Lancer"
	  16     1       1       50	     "Which character arrived in season 6?"		        "Rage Fighter"
	  17     1       1       50	     "The Dark Lord class arrived in which version?"                "99"
end
